id,name,base_frequency,tdp,max_temp,url,socket,product_line,lithography,opn_tray,opn_pib,revision,cache_l1,cache_l2,cache_l3,first_mention_year
436,AMD Phenom X4 9100e,1800,65,61,https://web.archive.org/web/20100508045446/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=402&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM2+,AMD Phenom X4,65,HD9100OBJ4BGD,,B2,128,512,2048,2010
437,AMD Athlon 3400+,2400,67,65,https://web.archive.org/web/20081207121052/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=112&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=,754,AMD Athlon,90,ADA3400AIK4BO,,E3,128,512,0,2008
438,AMD Athlon 3400+,2400,89,70,https://web.archive.org/web/20081207121049/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=110&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=,754,AMD Athlon,130,ADA3400AEP4AR,,CG,128,512,0,2008
439,AMD Phenom II  X6 1035T,2600,95,71,https://web.archive.org/web/20140718135551/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=653&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II  X6,45,HDT35TWFK6DGR,HDT35TWFGRBOX,E0,128,512,6144,2014
440,AMD Phenom II  X6 1055T,2800,95,71,https://web.archive.org/web/20150429070137/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=652&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II  X6,45,HDT55TWFK6DGR,HDT55TWFGRBOX,E0,128,512,6144,2015
441,AMD Phenom II  X6 1075T,3000,125,62,https://web.archive.org/web/20150429070357/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=713&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II  X6,45,HDT75TFBK6DGR,HDT75TFBGRBOX,E0,128,512,6144,2015
442,AMD Phenom II  X6 1065T,2900,95,62,https://web.archive.org/web/20140815082828/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=727&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II  X6,45,HDT65TWFK6DGR,HDT65TWFRBOX,E0,128,512,6144,2014
443,AMD FX 8-Core Black Edition FX-8120,3100,125,61,https://web.archive.org/web/20150429071146/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=771&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,FD8120FRW8KGU,FD8120FRGUBOX,"",48,1024,8192,2015
444,AMD FX 8-Core Black Edition FX-8150,3600,125,61,https://web.archive.org/web/20141120071146/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=770&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,FD8150FRW8KGU,FD8150FRGUBOX,B2,48,1024,8192,2014
445,AMD Phenom II X2 550,3100,80,70,https://web.archive.org/web/20100508051647/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=621&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X2,45,HDX550WFK2DGM,,C3,128,512,6144,2010
446,AMD Phenom II X2 B53,2800,80,70,https://web.archive.org/web/20100508051602/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=603&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X2,45,HDXB53WFK2DGM,,C3,128,512,6144,2010
447,AMD Phenom II X2 B55,3000,80,70,https://web.archive.org/web/20100508052942/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=602&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X2,45,HDXB55WFK2DGM,,C2,128,512,6144,2010
448,AMD Phenom II X3 B73,2800,95,73,https://web.archive.org/web/20100508052937/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=601&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X3,45,HDXB73WFK3DGI,,C2,128,512,6144,2010
449,AMD Phenom II X3 B75,3000,95,73,https://web.archive.org/web/20100508051557/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=600&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X3,45,HDXB75WFK3DGI,,C2,128,512,6144,2010
450,AMD Athlon 3800+,2400,89,70,https://web.archive.org/web/20081207121455/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=94&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=,939,AMD Athlon,130,ADA3800DEP4AS,,CG,128,512,0,2008
451,AMD FX 8-Core Black Edition FX-9370,4400,220,,https://web.archive.org/web/20150429071332/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=841&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,FD9370FHW8KHK,,"",,1024,,2015
452,AMD FX 8-Core Black Edition FX-8300,3300,95,,https://web.archive.org/web/20150429071321/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=835&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,FD8300WMW8KHK,FD8300WMHKBOX,"",,1024,,2015
453,AMD FX 8-Core Black Edition FX-8320,3500,125,,https://web.archive.org/web/20140915074109/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=810&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,FD8320FRW8KHK,FD8320FRHKBOX,"",,1024,,2014
454,AMD FX 8-Core Black Edition FX-8350,4000,125,,https://web.archive.org/web/20141115215149/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=809&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3+,AMD FX 8-Core Black Edition,32,FD8350FRW8KHK,FD8350FRHKBOX,"",,1024,,2014
455,AMD Athlon 64 3400+,2400,67,65,https://web.archive.org/web/20071227052011/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=112,754,AMD Athlon 64,90,ADA3400AIK4BO,,E3,128,512,0,2007
456,AMD Athlon 64 3400+,2400,89,70,https://web.archive.org/web/20071227052000/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=110,754,AMD Athlon 64,130,ADA3400AEP4AR,,CG,128,512,0,2007
457,AMD Phenom II  X6 1055T,2800,125,62,https://web.archive.org/web/20131216225730/http://products.amd.com/(S(dxyme045lxpnihzuglfl5j45))/pages/desktopcpudetail.aspx?id=641&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II  X6,45,HDT55TFBK6DGR,HDT55TFBGRBOX,E0,128,512,6144,2013
458,AMD Phenom II X3 700e,2400,65,72,https://web.archive.org/web/20100508051522/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=559&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X3,45,HD700EOCK3DGI,,C2,128,512,6144,2010
459,AMD Phenom II X4 900e,2400,65,70,https://web.archive.org/web/20100508052857/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=556&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X4,45,HD900EOCK4DGI,,C2,128,512,6144,2010
460,AMD Phenom II X4 805,2500,95,71,https://web.archive.org/web/20100508052842/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=527&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X4,45,HDX805WFK4FGI,,C2,128,512,4096,2010
